left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity,instru_trials.thisRepN,instru_trials.thisTrialN,instru_trials.thisN,instru_trials.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,left_gabor.started,left_gabor.stopped,right_gabor.started,right_gabor.stopped,fixation2.started,fixation2.stopped,left_distractor_prac.started,left_distractor_prac.stopped,right_distractor_prac.started,right_distractor_prac.stopped,cue_text.started,cue_text.stopped,fixation3.started,fixation3.stopped,cue_resp.started,cue_resp.stopped,probe.started,probe.stopped,probe_resp.keys,probe_resp.rt,response_ori,buffer.started,buffer.stopped,begin_text.started,begin_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix_cross.started,fix_cross.stopped,left_target.started,left_target.stopped,right_target.started,right_target.stopped,fix_cross2.started,fix_cross2.stopped,left_distractor_main.started,left_distractor_main.stopped,right_distractor_main.started,right_distractor_main.stopped,main_cue.started,main_cue.stopped,fix_cross3.started,fix_cross3.stopped,take_break.started,take_break.stopped,participant,date,expName,psychopyVersion,frameRate,
8,161,-35,120,"[25,45] degrees",left,-0.4,25,8,anticlockwise,-43,-41,,,,,0,0,0,0,0,9,9,9,,,,,116.99957277206704,None,116.99957277206704,118.00127450504806,116.99957277206704,118.00127450504806,119.00137282907963,None,119.00137282907963,120.00136890308931,119.00137282907963,120.00136890308931,121.0019442900084,121.20086936710868,121.0019442900084,None,122.60263090708759,None,122.60263090708759,None,None,,68.44292071496228,129.12069824407808,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
90,23,57,-5,"[25,45] degrees",right,0.4,31,23,anticlockwise,-28,-33,,,,,0,0,0,0,0,10,10,11,,,,,129.62082350905985,None,129.62082350905985,130.62127217906527,129.62082350905985,130.62127217906527,131.61083375406452,None,131.61083375406452,132.62212037306745,131.61083375406452,132.62212037306745,133.62214980903082,133.8223252950702,133.62214980903082,None,135.2224366280716,None,135.2224366280716,None,space,3.9444632969098166,70.07522164639894,140.69032328308094,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
94,44,72,8,"[25,45] degrees",neutral,0.4,34,44,anticlockwise,-36,-22,,,,,0,0,0,0,0,11,11,10,,,,,141.18088016705588,None,141.18088016705588,142.1731431580847,141.18088016705588,142.1731431580847,143.1916456600884,None,143.1916456600884,144.1919902950758,143.1916456600884,144.1919902950758,145.19253544299863,145.39215618406888,145.19253544299863,None,146.79200512205716,None,146.79200512205716,None,space,2.207286934950389,75.59600946706267,150.52674533810932,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
67,96,30,71,"[25,45] degrees",right,0.4,131,96,anticlockwise,-25,-37,,,,,0,0,0,0,0,12,12,7,,,,,151.01670676702634,None,151.01670676702634,152.01475586206652,151.01670676702634,152.01475586206652,153.02777557005174,None,153.02777557005174,154.0282021400053,153.02777557005174,154.0282021400053,155.02839549502824,155.22837765107397,155.02839549502824,None,156.61994926503394,None,156.61994926503394,None,space,0.5915330899879336,-97.07951643429476,158.74605071207043,None,,,,,,,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.08083072700538,None,space,2.512199134915136,163.08083072700538,None,,,,,,,,,,,,,,,,,,,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
22,128,61,173,"[25,45] degrees",right,0.4,126,128,clockwise,45,39,,,,,,,,,,,,,0,0,0,59,,,,,,,,,,,,,,,,,170.01595734606963,None,170.01595734606963,None,space,0.5602577700046822,-94.7801629646377,170.59939402609598,None,,,,,,,165.62095683300868,None,165.62095683300868,166.3814113860717,165.62095683300868,166.3814113860717,167.01462625700515,None,167.01462625700515,167.7655406530248,167.01462625700515,167.7655406530248,168.4152920570923,168.6155966130318,168.4152920570923,None,171.09930624883856,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
9,72,-32,40,"[25,45] degrees",neutral,-0.4,-28,9,anticlockwise,-41,-32,,,,,,,,,,,,,0,1,1,60,,,,,,,,,,,,,,,,,175.50060356908944,None,175.50060356908944,None,space,0.363426159019582,-94.7801629646377,175.88414892100263,None,,,,,,,171.09929524804465,None,171.09929524804465,171.84935641707852,171.09929524804465,171.84935641707852,172.50019063905347,None,172.50019063905347,173.25027589406818,172.50019063905347,173.25027589406818,173.90037065802608,174.10039418609813,173.90037065802608,None,176.38421990281205,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
80,179,119,210,"[25,45] degrees",right,0.4,135,179,clockwise,31,39,,,,,,,,,,,,,0,2,2,23,,,,,,,,,,,,,,,,,180.78540391509887,None,180.78540391509887,None,space,0.6018049750709906,-94.7801629646377,181.41897879401222,None,,,,,,,176.38401230610907,None,176.38401230610907,177.13427704304922,176.38401230610907,177.13427704304922,177.78497232904192,None,177.78497232904192,178.53505334304646,177.78497232904192,178.53505334304646,179.18507515802048,179.3851041130256,179.18507515802048,None,181.91884083080805,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
156,70,119,25,"[25,45] degrees",neutral,-0.4,126,156,anticlockwise,-37,-45,,,,,,,,,,,,,0,3,3,84,,,,,,,,,,,,,,,,,186.31940211704932,None,186.31940211704932,None,space,0.8277668420923874,-94.7801629646377,187.15945760405157,None,,,,,,,181.91862696805038,None,181.91862696805038,182.66961286810692,181.91862696805038,182.66961286810692,183.31975235510617,None,183.31975235510617,184.0699018581072,183.31975235510617,184.0699018581072,184.71992108109407,184.9202365730889,184.71992108109407,None,187.6710659298231,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
60,110,36,68,"[25,45] degrees",neutral,-0.4,41,60,anticlockwise,-24,-42,,,,,,,,,,,,,0,4,4,72,,,,,,,,,,,,,,,,,192.0614548320882,None,192.0614548320882,None,space,0.3731188630918041,-94.7801629646377,192.45593005802948,None,,,,,,,187.67122079106048,None,187.67122079106048,188.4214115299983,187.67122079106048,188.4214115299983,189.0715015460737,None,189.0715015460737,189.821384349023,189.0715015460737,189.821384349023,190.4614773450885,190.65997722302563,190.4614773450885,None,192.95589400782484,None,4444,2022_Nov_28_1134,circle_rotation,2021.2.3,61.01227214519126,
