left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity,instru_trials.thisRepN,instru_trials.thisTrialN,instru_trials.thisN,instru_trials.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,left_gabor.started,left_gabor.stopped,right_gabor.started,right_gabor.stopped,fixation2.started,fixation2.stopped,left_distractor_prac.started,left_distractor_prac.stopped,right_distractor_prac.started,right_distractor_prac.stopped,cue_text.started,cue_text.stopped,fixation3.started,fixation3.stopped,cue_resp.started,cue_resp.stopped,probe.started,probe.stopped,response_ori,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,buffer.started,buffer.stopped,begin_text.started,begin_text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix_cross.started,fix_cross.stopped,left_target.started,left_target.stopped,right_target.started,right_target.stopped,fix_cross2.started,fix_cross2.stopped,left_distractor_main.started,left_distractor_main.stopped,right_distractor_main.started,right_distractor_main.stopped,main_cue.started,main_cue.stopped,fix_cross3.started,fix_cross3.stopped,take_break.started,take_break.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
21,43,-15,1,"[25,45] degrees",neutral,0.4,20,43,anticlockwise,-42,-36,,,,,,,,,,,,,0,29,29,202,,,,,,,,,,,,,,,,,466.7893455660669,None,466.7893455660669,None,-24.884483526764285,[],[],[],[],[],[],466.7893455660669,None,471.79104248806834,None,,,,,,,462.38827346102335,None,462.38827346102335,463.1385473810369,462.38827346102335,463.1385473810369,463.7883051300887,None,463.7883051300887,464.538862192072,463.7883051300887,464.538862192072,465.17816160200164,465.3887197410222,465.17816160200164,None,472.29099109409145,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
117,20,94,-14,"[25,45] degrees",left,-0.4,96,117,anticlockwise,-23,-34,,,,,,,,,,,,,0,30,30,281,,,,,,,,,,,,,,,,,476.691753974068,None,476.691753974068,None,-24.884483526764285,[],[],[],[],[],[],476.691753974068,None,481.69339256407693,None,,,,,,,472.2911765089957,None,472.2911765089957,473.04101400100626,472.2911765089957,473.04101400100626,473.6911261540372,None,473.6911261540372,474.44141471001785,473.6911261540372,474.44141471001785,475.0828047770774,475.29154680203646,475.0828047770774,None,482.19401637617267,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
177,111,137,75,"[25,45] degrees",neutral,0.4,75,111,anticlockwise,-36,-40,,,,,,,,,,,,,0,31,31,250,,,,,,,,,,,,,,,,,486.5948497360805,None,486.5948497360805,None,-24.884483526764285,[],[],[],[],[],[],486.5948497360805,None,491.59491780400276,None,,,,,,,482.19384156004526,None,482.19384156004526,482.9436814880464,482.19384156004526,482.9436814880464,483.593843691051,None,483.593843691051,484.34444168105256,483.593843691051,484.34444168105256,484.9946983160917,485.19330952805467,484.9946983160917,None,492.09659840016394,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
116,177,87,136,"[25,45] degrees",right,0.4,201,177,anticlockwise,-41,-29,,,,,,,,,,,,,0,32,32,247,,,,,,,,,,,,,,,,,496.4963140520267,None,496.4963140520267,None,-24.884483526764285,[],[],[],[],[],[],496.4963140520267,None,501.49778841400985,None,,,,,,,492.09666860906873,None,492.09666860906873,492.84632277605124,492.09666860906873,492.84632277605124,493.49682331702206,None,493.49682331702206,494.2465742500499,493.49682331702206,494.2465742500499,494.896976896096,495.0851705520181,494.896976896096,None,501.99946679618444,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
132,48,94,14,"[25,45] degrees",left,-0.4,130,132,anticlockwise,-38,-34,,,,,,,,,,,,,0,33,33,161,,,,,,,,,,,,,,,,,506.4004460379947,None,506.4004460379947,None,-24.884483526764285,[],[],[],[],[],[],506.4004460379947,None,511.40034908009693,None,,,,,,,501.999651413993,None,501.999651413993,502.74974171607755,501.999651413993,502.74974171607755,503.39950234105345,None,503.39950234105345,504.1495692851022,503.39950234105345,504.1495692851022,504.79986295406707,505.000255229068,504.79986295406707,None,511.9023470811197,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
20,132,-1,105,"[25,45] degrees",neutral,-0.4,8,20,anticlockwise,-21,-27,,,,,,,,,,,,,0,34,34,268,,,,,,,,,,,,,,,,,516.2940615850966,None,516.2940615850966,None,-24.884483526764285,[],[],[],[],[],[],516.2940615850966,None,521.2937662890181,None,,,,,,,511.90221402805764,None,511.90221402805764,512.6524003510131,511.90221402805764,512.6524003510131,513.3026500170818,None,513.3026500170818,514.0529082620051,513.3026500170818,514.0529082620051,514.7023776090937,514.9024901560042,514.7023776090937,None,521.8048544161836,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
28,157,71,200,"[25,45] degrees",right,0.4,187,157,clockwise,43,43,,,,,,,,,,,,,0,35,35,103,,,,,,,,,,,,,,,,,526.2044887180673,None,526.2044887180673,None,-24.884483526764285,[],[],[],[],[],[],526.2044887180673,None,531.2074849240016,None,,,,,,,521.8047838370549,None,521.8047838370549,522.5549785640324,521.8047838370549,522.5549785640324,523.2050159110222,None,523.2050159110222,523.9550244300626,523.2050159110222,523.9550244300626,524.6054500550963,524.8046181240352,524.6054500550963,None,531.7074967651977,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
135,55,176,93,"[25,45] degrees",right,0.4,37,55,clockwise,38,41,,,,,,,,,,,,,0,36,36,7,,,,,,,,,,,,,,,,,536.1088173360331,None,536.1088173360331,None,-24.884483526764285,[],[],[],[],[],[],536.1088173360331,None,541.1102781350492,None,,,,,,,531.7061994420364,None,531.7061994420364,532.457977294107,531.7061994420364,532.457977294107,533.1078296960331,None,533.1078296960331,533.8579302460421,533.1078296960331,533.8579302460421,534.5082105060574,534.7083852340002,534.5082105060574,None,541.6103400001418,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
28,90,-6,69,"[25,45] degrees",left,-0.4,-15,28,anticlockwise,-34,-21,,,,,,,,,,,,,0,37,37,233,,,,,,,,,,,,,,,,,546.0007622560952,None,546.0007622560952,None,-24.884483526764285,[],[],[],[],[],[],546.0007622560952,None,551.0127620580606,None,,,,,,,541.6090879430994,None,541.6090879430994,542.3610154479975,541.6090879430994,542.3610154479975,543.010283894022,None,543.010283894022,543.7610175290611,543.010283894022,543.7610175290611,544.4108108100481,544.6110534140607,544.4108108100481,None,551.5125424121622,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
2,61,33,102,"[25,45] degrees",left,-0.4,-22,2,clockwise,31,41,,,,,,,,,,,,,0,38,38,41,,,,,,,,,,,,,,,,,555.914230692084,None,555.914230692084,None,-24.884483526764285,[],[],[],[],[],[],555.914230692084,None,560.9156518980162,None,,,,,,,551.5127707000356,None,551.5127707000356,552.2635906510986,551.5127707000356,552.2635906510986,552.9136200851062,None,552.9136200851062,553.6637439420447,552.9136200851062,553.6637439420447,554.3139656600542,554.5139670810895,554.3139656600542,None,561.4155815831734,None,444444,2022_Nov_30_1359,circle_rotation_long_behav,2021.2.3,59.902865209332994,
